page_url,chunk_index,content
/home,0,"Aquaclear is a UK national contracting service specializing in Waterway, Reed bed, and Wetland Management."
/home,1,"They have over 20 years of experience managing watercourses from large commercial lakes and reedbeds to small private ponds."
/home,2,"Aquaclear has worked with major environmental bodies, building projects, local nature reserves, and private ponds across the UK."
/home,3,"They offer expertise to meet both commercial and ecological needs."
/home,4,"Services include cutting, removal, and control of aquatic vegetation to maintain waterways."
/home,5,"These services also cover silt pumping, dredging, on-water excavation, and flotsam removal."
/home,6,"Their work helps address flooding risks and control invasive species."
/home,7,"The Truxor Amphibious Harvester is used for all projects."
/home,8,"It is a lightweight, land-to-water machine that accesses sensitive or hard-to-reach areas, including dry, boggy land, deep open water, and water margins."
/home,9,"The Truxor is suitable for lakes, canals, rivers, fisheries, golf courses, and nature reserves."
/home,10,"Its design ensures safe, efficient, and environmentally sensitive operations in all types of inland waterways."
/home,11,"Contracting services focus on mechanical harvesting of aquatic vegetation and cutting/removal of reed growth from natural or manmade reed beds and wetland habitats."
/home,12,"Aquaclear provides these services year-round using Truxor Harvesters."
/home,13,"Regular harvesting is recommended to control excessive plant growth, reduce silt buildup, and sustain water depth."
/home,14,"Continuous harvesting maintains waterways for transportation, recreation, and wildlife."
/home,15,"The lightweight Truxor allows access to sensitive areas without expensive lifting equipment."
/home,16,"Its weight distribution protects banks and surroundings, making it ideal for delicate environments."
/home,17,"Truxor attachments and accessories enable light excavation, silt pumping, and removal of aquatic vegetation, trash, and flotsam."
/home,18,"Machines can be adapted efficiently for site-specific needs."

/about,0,"Aquaclear specializes in waterway, reed bed, and wetland management, combining decades of experience with innovative amphibious technology."
/about,1,"They maintain and restore aquatic environments using sustainable, low-impact methods."
/about,2,"Aquaclear operates nationwide, offering professional contracting services for all aspects of aquatic and wetland maintenance."
/about,3,"They have over 20 years of experience with national environmental agencies, local councils, and private clients."
/about,4,"The team maintains watercourses ranging from large reedbeds and commercial lakes to small garden ponds."
/about,5,"Services include vegetation control, silt pumping, and full-scale dredging."
/about,6,"Central to their operations is the Truxor Amphibious Harvester, a lightweight land-to-water machine."
/about,7,"It accesses areas traditional machinery cannot reach, including narrow canals, marinas, and sensitive environments like nature reserves and SSSI sites."
/about,8,"The Truxor’s low ground pressure and versatile tool attachments make it suitable for weed cutting, silt removal, and on-water excavation."
/about,9,"Attachments can be swapped quickly to maximize flexibility for any project."
/about,10,"Truxor specifications: Min Width 2.2m, Max Length 5m, Max Height 2.6m (without driver), Weight 1,400kg, Mode of Delivery 4x4 with trailer, Minimum Working Depth: none required."
/about,11,"Aquaclear is partnered with Truxor UK Ltd, the official UK retailer and distributor of Truxor machines, spare parts, and servicing."
/about,12,"This partnership ensures clients have access to the latest equipment and support."
